Pos,ID,Name,Link,Year,Author,Notes,Source,Type,R1 points,R1 Total,R1 Diff,R1 %,R1 Pos,R1 EnID,R1 En,R1 Grp,R1 Rep,R2 points,R2 total,R2 Diff,R2 %,R2 Pos,R2 Sup,R2 EnId,R2 En,R2 Grp,R3 points,R3 total,R3 Diff,R3 %,R3 Pos,R3 Sup,R3 EnId,R3 En,R3 Time,R3 Grp
30,8,Favágás,https://www.tumblr.com/tumbliveleje/188209602519/kapott-a-gyerek-egy-h%C3%A1rmast-sz%C3%B6veg%C3%A9rt%C3%A9sb%C5%91l-n%C3%A9zz%C3%BCk?source=share&_branch_match_id=link-1160219002635552429,2019,muszeresz,482,Tumblr,text,70,160,-20,43.75%,2,7,Úgy megbasztuk beszart,P,32,62,175,-51,35.43%,2,4,1,Cingi a gekkó,X,,,,,,,,,,
31,86,Rálépett egy migráns,https://akurvaanyadatbuttersofficial.tumblr.com/post/121496646377/ralepett-tegnap-egy,2015,akurvaanyadatbutters/sugarpallos,23562,Tumblr,text,48,75,21,64.00%,2,85,Weiler Péter,G,,51,127,-25,40.16%,2,1,25,56-os nők,X,,,,,,,,,,
32,84,Posts reaching Hunbli,https://at.tumblr.com/tumbliveleje/707489200171253760/cft9mj1t0v4h,2023,kaoszkutato,1517,Tumblr,international,62,80,44,77.50%,2,83,Benei traktoron,D,,45,103,-13,43.69%,1,0,87,Kakithread,X,,,,,,,,,,
33,92,Tumbli gráf,https://at.tumblr.com/napszemuvegbe/soros-gy%C3%B6rgy-%C3%BCgyn%C3%B6kh%C3%A1l%C3%B3zata-leleplezve/mv3ypmoxyhgv,2018,napszemuvegbe,415,Tumblr,text,41,64,18,64.06%,2,91,Ingatlankeresés,G,,44,269,-181,16.36%,2,0,9,Zoli bohóc,X,,,,,,,,,,
34,82,Kurwa Union,https://at.tumblr.com/tumbliveleje/no-for-real-i-love-the-recent-wave-of-hungarians/0iy5rw7tone9,2022,couleurlocale,1216,Tumblr,international,41,71,11,57.75%,2,81,Zámbó Jimmy emlékhonlap,G,,43,107,-21,40.19%,2,2,28,Lovas színház,X,,,,,,,,,,
35,58,Seggszombat,https://at.tumblr.com/tumbliveleje/704109454296317952/lme2vrzt9ong,2019,rejszelde,153,Tumblr,text,59,84,34,70.24%,2,57,Bejgli,E,,37,90,-16,41.11%,2,0,35,Közmondás mémek,X,,,,,,,,,,
36,31,Stabil ribancok,https://www.tumblr.com/tumbliveleje/189772204754/instantfollow-icukadiktalok-instantfollow?source=share&_branch_match_id=link-1160322512127525949,2016,kommentelj,1572,Facebook,text,125,275,-25,45.45%,1,32,Fotelthread,P,59,36,93,-21,38.71%,2,0,5,Húsleves,X,,,,,,,,,,
37,76,Óra a Moszkván,https://at.tumblr.com/tumbliveleje/towardingheadlight-edobebop-egyszavak/i0qx7eponzt6,2021,bolcseszgoblin,273775,Tumblr,text,54,101,7,53.47%,2,75,Címer a falon,F,,36,109,-37,33.03%,2,0,33,Actimel,X,,,,,,,,,,
38,73,Goran Bregovic,https://www.tumblr.com/eltiron2/662252174104985601/sanyiabagoly-nemzetierzelmu,2016,lampaernyo,1275,Tumblr,thread,38,57,19,66.67%,1,74,Leszállás,H,,35,114,-44,30.70%,2,0,32,Fotelthread,X,,,,,,,,,,
39,78,Lemásolt képek,https://at.tumblr.com/tumbliveleje/bocsi-a-hossz%C3%BA-poszt%C3%A9rt-de-r%C3%A9g-l%C3%A1ttam-ennyire/0nxicxgh04wm,2016,katacha,335,Tumblr,text,60,113,7,53.10%,2,77,EXIF mizéria,E,,34,94,-26,36.17%,2,0,43,Tankcsapda mémek,X,,,,,,,,,,
40,63,Krémespinát,https://at.tumblr.com/tumbliveleje/708278269363027968/mibda1vudvct,2023,rizses-lecso,311,Tumblr,thread,49,88,10,55.68%,1,64,Kedvenc vicceim,G,,34,97,-29,35.05%,2,0,66,Belekakkantottak,X,,,,,,,,,,
41,17,Perszonál kontent,https://www.tumblr.com/tumbliveleje/188030970309/deadheadingcrew-0rgazmus-menta-lime?source=share&_branch_match_id=link-1160323326522951071,2015,fancsalificsurno,266,Tumblr,text,54,84,24,64.29%,1,18,Pötyi,F,,32,97,-33,32.99%,2,0,13,40 ezret,X,,,,,,,,,,
42,51,Sikermellény,https://at.tumblr.com/tumbliveleje/688398920623308800/dzhhdxyoydul,2021,deadmanride,393,Tumblr,thread,60,93,27,64.52%,1,52,Jegva Ótáyt,E,,32,150,-86,21.33%,2,0,39,Kisjószág,X,,,,,,,,,,
43,50,Országszlogen,https://at.tumblr.com/tumbliveleje/elkezdt%C3%BCnk-gondolkozni-mi-lehetne-az-orsz%C3%A1g/nrmrb9qq4ufd,2022,sztivan,393,Tumblr,thread,52,78,26,66.67%,2,49,Banki ügyintézés,F,,26,69,-17,37.68%,2,0,47,90-es évek vidék,X,,,,,,,,,,
44,67,Földhözbaszott torta,https://www.tumblr.com/sunyisarkirokakepu/139365085828/ha-nem-most-t%C3%B6rt%C3%A9nt-volna-meg-velem-akkor-nem,2016,sunyisarkirokakepu,404,Tumblr,text,49,75,23,65.33%,1,68,Valentino vs Toms,G,,26,126,-74,20.63%,2,2,11,Faszfütyürű,X,,,,,,,,,,
45,56,Mosogatógép,https://at.tumblr.com/tumbliveleje/hossz%C3%BA-t%C3%B6rt%C3%A9net-arr%C3%B3l-hogy-a-modern-technika/g55wunu8me0q,2015,malachiefconstant,164,Tumblr,text,41,79,3,51.90%,2,55,Buttplugthread,H,,21,149,-107,14.09%,2,0,3,Zoli a pók,X,,,,,,,,,,
46,19,Barilla a csomagtartóban,https://www.tumblr.com/tumbliveleje/188040841019/petrany-ennyire-m%C3%A1r-r%C3%A9g-pakoltam-tele?source=share&_branch_match_id=link-1160323451529987258,2018,petrany,317,Tumblr,text,47,90,4,52.22%,1,20,Kakóscsiga evése,G,,19,105,-67,18.10%,2,1,21,IT kábelezés,X,,,,,,,,,,
47,53,Konditermi típusok,https://at.tumblr.com/tumbliveleje/konditermi-t%C3%ADpusok/qo7qg9ep00mj,2018,bubikort,453,Tumblr,text,52,89,15,58.43%,1,54,Lakossági Thread eredet,F,,15,121,-91,12.40%,2,0,71,Dinoszaurusz,X,,,,,,,,,,
48,70,Pénzcsipesz,https://www.tumblr.com/kacsanova/186676396961/instantfollow-paeoniaalba-egyszavak,2019,turisz,358,Tumblr,thread,30,58,2,51.72%,2,69,Pina az idő,H,,5,120,-110,4.17%,2,0,41,Tinky Winky,X,,,,,,,,,,
49,65,Palacsintafityma,https://www.tumblr.com/orulunkvincent/709408798677368832/m%C3%A1jkr%C3%A9mes-palacsint%C3%A1r%C3%B3l-m%C3%A9g-nem-hallottam-h%C3%A1l,2023,tenykozleseim,316,Tumblr,thread,57,157,-43,36.31%,1,66,Belekakkantottak,R,24,,,,,,,,,,,,,,,,,,,
50,2,Rókafarok,https://www.tumblr.com/tumbliveleje/187979364039/%C3%BCzenet?source=share&_branch_match_id=link-1160216802836350172,2015,amugydori,324,Tumblr,text,54,177,-69,30.51%,2,1,Cingi a gekkó,R,22,,,,,,,,,,,,,,,,,,,
51,27,Normális polgári lány,https://www.tumblr.com/tumbliveleje/188903446514/be%C3%A1ll%C3%ADtotta-a-emojit-a-chat-emojinak?source=share&_branch_match_id=link-1160322146916894674,2019,teaszunet,572,Tumblr,text,64,154,-26,41.56%,1,28,Lovas színház,R,14,,,,,,,,,,,,,,,,,,,
52,80,Rákos lettem a threadtől,https://www.tumblr.com/joe-a-nevem/145347487067/gyere-induljunk-s%C3%B6t%C3%A9tben-fogd-a-kezem-sz%C3%ADvjunk,2016,minta-kiontottviz,4535,Tumblr,thread,33,67,-1,49.25%,2,79,Skóciában mászni,R,11,,,,,,,,,,,,,,,,,,,
53,69,Pina az idő,https://tumblr.sztupy.hu/post/171838966281/%C3%ADrd-le-hogy-mennyi-az-id%C5%91-%C3%A9s-hogy-mi-j%C3%A1r-a,2015,seholsemmi456,11902,Tumblr,thread,28,58,-2,48.28%,1,70,Pénzcsipesz,R,9,,,,,,,,,,,,,,,,,,,
54,55,Buttplugthread,https://at.tumblr.com/tumbliveleje/venn%C3%A9k-neked-buttplug-ot-kar%C3%A1csonyra/9nd751w817v8,2022,kockalany,92,Tumblr,text,38,79,-3,48.10%,1,56,Mosogatógép,R,8,,,,,,,,,,,,,,,,,,,
55,77,EXIF mizéria,https://tumblr.sztupy.hu/post/156212322041/vaczkor-sztupy-praesensperfectum,2017,sztupy,103,Tumblr,text,53,113,-7,46.90%,1,78,Lemásolt képek,R,5,,,,,,,,,,,,,,,,,,,
56,20,Kakóscsiga evése,https://www.tumblr.com/tumbliveleje/188275034374/hogyan-essz%C3%BCk-a-kaka%C3%B3scsig%C3%A1t?source=share&_branch_match_id=link-1160323778819917564,2014,wi1ika,335,Tumblr,text,43,90,-4,47.78%,2,19,Barilla a csomagtartóban,R,4,,,,,,,,,,,,,,,,,,,
