Pos,ID,Name,Link,Year,Author,Notes,Source,Type,Logo,R1 points,R1 Total,R1 Diff,R1 %,R1 Pos,R1 EnID,R1 En,R1 Grp,R1 Rep,R2 points,R2 total,R2 Diff,R2 %,R2 Pos,R2 Sup,R2 EnId,R2 En,R2 Grp,R3 points,R3 total,R3 Diff,R3 %,R3 Pos,R3 Sup,R3 EnId,R3 En,R3 Time,R3 Grp,R4 points,R4 total,R4 Diff,R4 %,R4 Pos,R4 Sup,R4 EnId,R4 En,R4 Time,R4 Grp
25,87,Kakithread,https://www.tumblr.com/akurvaanyadatbuttersofficial/690057810563776512/n%C3%A9ha-mikor-ilyen-szar-napom-van-mint-a-mai-arra,2019,csillogopicsavillanto,997,Tumblr,thread,,54,76,32,71.05%,1,88,Küldj képet,E,,58,103,13,56.31%,2,0,84,Posts reaching Hunbli,A,36,83,-11,43.37%,1,0,71,Dinoszaurusz,2023-03-27 16:00:00,X,,,,,,,,,,
26,29,Mozambik,https://www.tumblr.com/tumbliveleje/189335811069/textmeme?source=share&_branch_match_id=link-1160322324839270309,2019,akurvaanyadatbutters/sugarpallos,292,Tumblr,text,,68,122,14,55.74%,1,30,1000 nót,D,,75,161,-11,46.58%,1,5,45,Hülyenévthread,D,30,130,-70,23.08%,1,2,3,Zoli a pók,2023-03-24 18:00:00,X,,,,,,,,,,
27,7,Úgy megbasztuk beszart,https://www.tumblr.com/tumbliveleje/187979350039/%C3%BAgy-megbasztuk-beszart?source=share&_branch_match_id=link-1160219190653617797,2014,retisonic,1318,Tumblr,text,,90,160,20,56.25%,1,8,Favágás,C,,117,250,-16,46.80%,1,4,90,Esküvő,XD,,,,,,,,,,,,,,,,,,,,
28,60,Kakis bikini,https://www.tumblr.com/sunyisarkirokakepu/124446833068/sunyi-a-jotevo,2015,sunyisarkirokakepu,363,Tumblr,text,,61,81,41,75.31%,2,59,Apátok faszát,E,,79,197,-39,40.10%,2,1,23,Vágod faszim biztos nem,X,,,,,,,,,,,,,,,,,,,,
29,61,Te gepárd,https://www.tumblr.com/akurvaanyadatbuttersofficial/710441139319226368/fletchererwin-kissloofahs-reloaded,2022,lakotelepi-jamesdean,232,Tumblr,text,,53,95,11,55.79%,1,62,Ayahusacafőzelék,F,,63,159,-33,39.62%,2,0,37,Kossuth utcák,X,,,,,,,,,,,,,,,,,,,,
30,8,Favágás,https://www.tumblr.com/tumbliveleje/188209602519/kapott-a-gyerek-egy-h%C3%A1rmast-sz%C3%B6veg%C3%A9rt%C3%A9sb%C5%91l-n%C3%A9zz%C3%BCk?source=share&_branch_match_id=link-1160219002635552429,2019,muszeresz,482,Tumblr,text,,70,160,-20,43.75%,2,7,Úgy megbasztuk beszart,P,32,62,175,-51,35.43%,2,4,1,Cingi a gekkó,X,,,,,,,,,,,,,,,,,,,,
31,86,Rálépett egy migráns,https://akurvaanyadatbuttersofficial.tumblr.com/post/121496646377/ralepett-tegnap-egy,2015,akurvaanyadatbutters/sugarpallos,23562,Tumblr,text,,48,75,21,64.00%,2,85,Weiler Péter,G,,51,127,-25,40.16%,2,1,25,56-os nők,X,,,,,,,,,,,,,,,,,,,,
32,84,Posts reaching Hunbli,https://at.tumblr.com/tumbliveleje/707489200171253760/cft9mj1t0v4h,2023,kaoszkutato,1517,Tumblr,international,,62,80,44,77.50%,2,83,Benei traktoron,D,,45,103,-13,43.69%,1,0,87,Kakithread,X,,,,,,,,,,,,,,,,,,,,
33,92,Tumbli gráf,https://at.tumblr.com/napszemuvegbe/soros-gy%C3%B6rgy-%C3%BCgyn%C3%B6kh%C3%A1l%C3%B3zata-leleplezve/mv3ypmoxyhgv,2018,napszemuvegbe,415,Tumblr,text,,41,64,18,64.06%,2,91,Ingatlankeresés,G,,44,269,-181,16.36%,2,0,9,Zoli bohóc,X,,,,,,,,,,,,,,,,,,,,
34,82,Kurwa Union,https://at.tumblr.com/tumbliveleje/no-for-real-i-love-the-recent-wave-of-hungarians/0iy5rw7tone9,2022,couleurlocale,1216,Tumblr,international,,41,71,11,57.75%,2,81,Zámbó Jimmy emlékhonlap,G,,43,107,-21,40.19%,2,2,28,Lovas színház,X,,,,,,,,,,,,,,,,,,,,
